RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q,makat_dir
10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.7,14.3,12,12.67,15.63,1.98,2,12,95.6,568.0,47.3,,,47.8,,,,,,,45.0,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,10003-1
10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,0.6,21,13.68,36.84,44.21,2,10,6.1,50.0,5.0,,,3.0,,,,,,,9.8,,,,,,,,,,,,שישי - 06:00-08:59,2024,2,10006-1
10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.3,0.7,34,17.15,43.03,29.29,19,107,165.2,943.1,8.8,,0.1,11.6,15.7,13.1,4.6,2.5,,0.0,9.8,12.5,12.6,0.0,,,,,,,,,ימי חול - 09:00-11:59,2024,2,10006-3
10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,2.6,8,15.76,17.89,8.83,11,61,140.0,741.3,12.2,,3.3,17.9,,3.7,3.8,,,,7.3,,,0.0,,,,,,,,,ימי חול - 06:00-08:59,2024,2,10007-1
10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.3,1.8,8,12.39,17.92,16.33,11,62,67.2,408.3,6.6,,,,,4.5,10.4,4.1,,,,,10.3,,,,,,,,,,ימי חול - 15:00-18:59,2024,2,10007-2
10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.3,8.8,22,13.7,25.84,3.46,2,12,94.8,537.0,44.8,,,47.4,,,,,,,31.5,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,10008-1
10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,99.6,5.5,20,14.42,24.55,4.61,3,17,101.9,543.6,32.0,,,,,33.7,,,,,,29.8,4.3,,,,,,,,,,ימי חול - 12:00-14:59,2024,2,10008-2
10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1822.4,1.9,36,16.05,38.13,12.06,32,178,598.2,3375.4,19.0,,,12.4,22.1,33.4,14.5,12.3,,,9.8,29.4,27.3,,,,,,,,,4.9,ימי חול - 12:00-14:59,2024,2,10010-3
10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.0,7348.4,2.3,48,19.34,52.74,8.03,76,433,3038.3,17064.3,39.4,,5.9,45.3,44.1,65.1,29.1,26.9,,9.0,36.0,47.4,56.5,9.7,,,,,,,14.8,21.5,ימי חול - 12:00-14:59,2024,2,10012-1
10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית ביאליק,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,7222.5,2.3,46,22.85,44.38,7.0,75,428,2904.4,16291.5,38.1,,6.9,30.8,47.3,62.5,33.1,27.2,,6.6,30.0,47.2,54.9,10.8,,,,,,,12.9,21.4,ימי חול - 12:00-14:59,2024,2,10012-2
